URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,14.0,2,0.7499999531250029,0.041666666558159725,10.838709677419354,,,10.838709677419354,162.0,333.0,2.6452599388379205,2.0,6.873873873873874
blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,65.0,32,0.3402061820597301,0.08629893230756322,11.845238095238095,,,11.845238095238095,566.0,995.0,2.6452599388379205,4.0,7.295477386934674
blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,46.0,25,0.2957746437214839,0.07537154981383062,13.39344262295082,,,13.39344262295082,507.0,817.0,2.775489186405767,14.0,8.004895960832313
blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,46.0,76,-0.24590163732867512,0.1307609859263012,14.589285714285714,,,14.589285714285714,484.0,816.0,2.775489186405767,5.0,7.779411764705882
blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,28.0,9,0.5135134996347703,0.05967741925858481,12.444444444444445,,,12.444444444444445,288.0,560.0,2.9987562189054726,7.0,7.360714285714286
blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,95.0,28,0.5447154427258907,0.08310810805195397,13.652631578947368,,,13.652631578947368,778.0,1294.0,2.9987562189054726,7.0,7.795208655332303
blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,32.0,44,-0.15789473476454297,0.09908735319545325,11.0,,,11.0,358.0,693.0,2.89625,2.0,7.105339105339105
blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,38.0,10,0.5833333211805558,0.06193548379105099,12.596153846153847,,,12.596153846153847,414.0,654.0,2.89625,4.0,7.943425076452599
blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,46.0,51,-0.051546391221171224,0.10589519639094411,12.596774193548388,,,12.596774193548388,478.0,780.0,2.7441016333938295,3.0,7.901282051282052
blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,68.0,69,-0.007299270019713358,0.1291234683043134,10.919540229885058,,,10.919540229885058,549.0,946.0,2.7441016333938295,9.0,7.681818181818182
blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,68.0,20,0.5454545392561985,0.07892376674535984,13.791666666666666,,,13.791666666666666,605.0,992.0,2.8998422712933754,3.0,7.682459677419355
blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,87.0,25,0.5535714236288266,0.09333333325555555,12.820224719101123,,,12.820224719101123,679.0,1140.0,2.8998422712933754,3.0,7.454385964912281
blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,46.0,14,0.5333333244444446,0.11857707486447218,16.551724137931036,,,16.551724137931036,296.0,479.0,2.639586410635155,4.0,7.624217118997913
blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,29.0,28,0.017543859341335802,0.06793802137313704,9.961538461538462,,,9.961538461538462,410.0,775.0,2.639586410635155,4.0,7.099354838709678
blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,42.0,28,0.19999999714285718,0.07407407399568881,14.285714285714286,,,14.285714285714286,485.0,897.0,3.154589371980676,7.0,7.222965440356745
